Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year
Yone Yone,0,0,0%,,,,,-,,,,,,,,2017
Samira Samira,0,0,0%,,,,,-,,,,,,,,2017
Seraphine Seraphine,0,0,0%,,,,,-,,,,,,,,2017
Rell Rell,0,0,0%,,,,,-,,,,,,,,2017
Viego Viego,0,0,0%,,,,,-,,,,,,,,2017
Gwen Gwen,0,0,0%,,,,,-,,,,,,,,2017
Akshan Akshan,0,0,0%,,,,,-,,,,,,,,2017
Vex Vex,0,0,0%,,,,,-,,,,,,,,2017
Zeri Zeri,0,0,0%,,,,,-,,,,,,,,2017
Renata Glasc Renata Glasc,0,0,0%,,,,,-,,,,,,,,2017
Belveth Belveth,0,0,0%,,,,,-,,,,,,,,2017
Nilah Nilah,0,0,0%,,,,,-,,,,,,,,2017
KSante KSante,0,0,0%,,,,,-,,,,,,,,2017
Milio Milio,0,0,0%,,,,,-,,,,,,,,2017
Naafiri Naafiri,0,0,0%,,,,,-,,,,,,,,2017
Briar Briar,0,0,0%,,,,,-,,,,,,,,2017
