match_id,Winner,Blue Picks,Red Picks
106,Blue,"Renekton,Maokai,Jayce,Ezreal,Karma","Ornn,Ivern,Tristana,Ashe,Heimerdinger"
107,Blue,"Renekton,Sejuani,Orianna,Kai'Sa,Rakan","Jax,Ivern,Tristana,Ziggs,Rell"
108,Blue,"Camille,Poppy,Akali,Kai'Sa,Rell","Gnar,Sejuani,Ahri,Xayah,Rakan"
109,Red,"Gragas,Vi,Tristana,Draven,Rell","Ornn,Maokai,Jayce,Ezreal,Braum"
110,Blue,"Kennen,Wukong,LeBlanc,Lucian,Alistar","Malphite,Nocturne,Neeko,Kalista,Nautilus"
111,Blue,"Renekton,Vi,Ahri,Zeri,Rakan","K'Sante,Diana,Yasuo,Aphelios,Tahm Kench"
112,Blue,"Rumble,Xin Zhao,Akali,Xayah,Rakan","K'Sante,Wukong,Galio,Kai'Sa,Rell"
113,Blue,"K'Sante,Maokai,Tristana,Varus,Nautilus","Renekton,Lee Sin,Lissandra,Lucian,Braum"
114,Red,"Kennen,Viego,Annie,Jinx,Nautilus","Jax,Sejuani,Sylas,Aphelios,Rakan"
115,Red,"Ornn,Viego,Neeko,Kai'Sa,Alistar","K'Sante,Wukong,Ahri,Xayah,Rell"
116,Blue,"Poppy,Viego,Azir,Ziggs,Nautilus","K'Sante,Nocturne,Akali,Aphelios,Leona"
117,Blue,"Renekton,Viego,Orianna,Kai'Sa,Rell","Jax,Bel'Veth,Akali,Nilah,Sejuani"
118,Blue,"Renekton,Nidalee,Jayce,Kai'Sa,Rell","Ornn,Kha'Zix,Ahri,Xayah,Rakan"
119,Blue,"Malphite,Xin Zhao,Annie,Nilah,Nautilus","K'Sante,Wukong,Syndra,Ashe,Braum"
120,Red,"Renekton,Nidalee,Ahri,Kai'Sa,Alistar","Ornn,Wukong,Lissandra,Aphelios,Rell"
121,Red,"Fiora,Vi,Ahri,Kai'Sa,Alistar","Rumble,Maokai,Jayce,Xayah,Rakan"
122,Blue,"K'Sante,Kindred,Annie,Aphelios,Rell","Malphite,Vi,Vladimir,Xayah,Rakan"
123,Red,"Renekton,Sejuani,Corki,Ashe,Rell","Jax,Wukong,Azir,Kai'Sa,Alistar"
124,Blue,"Ornn,Ivern,Tristana,Draven,Blitzcrank","Rumble,Maokai,Jayce,Aphelios,Braum"
125,Blue,"Jax,Sejuani,Syndra,Draven,Alistar","Renekton,Wukong,Annie,Varus,Braum"
126,Blue,"K'Sante,Nocturne,LeBlanc,Xayah,Rakan","Renekton,Graves,Viktor,Kai'Sa,Rell"
127,Blue,"Renekton,Kha'Zix,Annie,Samira,Rell","Gnar,Wukong,LeBlanc,Ashe,Alistar"
128,Red,"K'Sante,Maokai,Jayce,Kai'Sa,Rell","Ornn,Lee Sin,LeBlanc,Senna,Tahm Kench"
129,Blue,"Kennen,Kindred,K'Sante,Aphelios,Thresh","Gnar,Maokai,Sivir,Varus,Nautilus"
130,Blue,"Quinn,Ivern,Jayce,Taric,Sylas","Renekton,Sejuani,Akali,Kai'Sa,Renata Glasc"
131,Blue,"Rumble,Poppy,LeBlanc,Xayah,Rakan","Jax,Sejuani,Neeko,Kai'Sa,Pyke"
132,Blue,"K'Sante,Rell,Syndra,Draven,Leona","Ornn,Ivern,Taliyah,Xayah,Nautilus"
133,Red,"K'Sante,Rell,Yone,Sivir,Rakan","Renekton,Maokai,Azir,Kai'Sa,Nautilus"
